Province_State,Population,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,Average
Nebraska,1934408,0.005169540241769058,0.0053763218514398204,0.0029983333402260537,0.003360201157149888,0.004187327595832937,0.00899500002067816,0.01892051728487475,0.03272318973039814,0.013906063250358766,0.008374655191665874,0.0050661494369336766,0.0033085057547321967,0.009365483738004944
Nevada,3080156,0.0056490645279005346,0.0029219299282244146,0.010486481853516512,0.015421296843406632,0.009577436986957804,0.005746462192174682,0.011914980929537335,0.03175163855337197,0.03727083952890698,0.022304065118779696,0.009480039322683657,0.0069801659396472125,0.014125366810425618
New Hampshire,1359711,0.01272329193483027,0.009266675050801237,0.0032359817637718606,0.0012502656814573098,5.148152806000687E-4,0.0032359817637718606,0.0031624367236861364,0.017135994339973714,0.021916421945545782,0.008310589529686822,0.005001062725829239,0.004780427605572067,0.007544495362127198
New Jersey,8882190,0.05382681523363044,0.017079121252754105,0.00882665198560265,0.0014185690691147115,0.0019927517875659045,0.002566934506017097,0.007239205646355234,0.023068635100127334,0.027493219577604172,0.019905000906308017,0.014737356440247283,0.011179675282784988,0.015777828065675993
New Mexico,2096829,0.011112017241272415,0.006724439618109059,0.006915203862594422,0.006533675373623695,0.004673723989891403,0.006724439618109059,0.026230083616737464,0.04335117455929883,0.03843899526380072,0.020650229465540584,0.010539724507816327,0.00619983794577431,0.015674462088547357
New York,19453561,0.031649732406318826,0.007047552887617851,0.003109970457336834,0.0014496060644115492,0.001886544062549782,0.002087021496989677,0.004600700098043746,0.01726162114997866,0.029048666205637105,0.02046411965398006,0.013796959847094318,0.010070135745327037,0.011872719172940452
North Carolina,10488084,0.0050628885123345695,0.004223841075262174,0.005358462041303254,0.007246318774716144,0.007913742872387369,0.008066296951855076,0.008419078260624152,0.014177994760530142,0.02466608772393509,0.01789650044755553,0.008581166970058592,0.005139165552068423,0.009729295328552543
North Dakota,762062,0.005511362592544963,0.002362012539662127,0.0031493500528828365,0.005248916754804728,0.013515960643622173,0.03647997144589286,0.053670173817878336,0.048027588306463254,0.01942099199277749,0.0036742417283633093,0.0030181271340127182,0.003280572971752955,0.016446605831721483
Ohio,11689100,0.008948507583988501,0.003986620013516866,0.005150097099006767,0.005979930020275299,0.004756568084796947,0.007271731784311879,0.02344919625976337,0.04684706264810807,0.031182896886843295,0.01142945136922432,0.004636798384820046,0.0013345766568854745,0.012914453065961734
Oklahoma,3956971,0.002830447834972761,0.0013394083504781815,0.0038918657730875462,0.006545410618374509,0.005837798659631319,0.007733187834836292,0.010260373401776258,0.018852804329372138,0.02673762329822483,0.02226450484474109,0.013267724226434817,0.04637385515334835,0.013827917027106507
Oregon,4217737,0.0011854698384465413,0.0012803074255222646,0.0027265806284270454,0.0032481873573435233,0.0023709396768930827,0.003082221579961008,0.005287195479471575,0.013395809174445916,0.011380510449086797,0.005951058589001638,0.004149144434562895,0.0026554524381202527,0.004726073089273545
