Country,Month,avg(Confirmed),avg(Deaths),avg(Recovered)
Russia,11,23263.22048192771,401.6441767068273,17610.3140562249
Russia,12,32686.429071123202,579.2522347454334,25998.895841430236
Spain,1,114807.71935483871,2696.132258064516,7518.8
Spain,2,152800.06785714286,3246.2625,7518.8
Spain,3,160130.04677419356,3634.55,7518.8
Spain,4,169943.66333333333,3841.286666666667,7518.8
Spain,5,28525.288607594935,1653.8506329113925,7562.189873417721
Spain,6,12218.653333333334,1380.675,7518.8
Spain,7,13119.822580645161,1420.6016129032257,7518.8
Spain,8,17998.456451612903,1435.3064516129032,7518.8
Spain,9,30527.1,1512.5416666666667,7518.8
Spain,10,47572.08548387097,1687.3112903225806,7518.8
Spain,11,73221.305,2054.5116666666668,7518.8
Spain,12,88818.96451612904,2414.5887096774195,7518.8
Sweden,1,24494.643625192013,485.62826420890934,0.0
Sweden,2,29254.520408163266,590.9200680272108,0.0
Sweden,3,34668.58832565284,627.8310291858679,0.0
Sweden,4,42315.21428571428,654.3698412698412,0.0
Sweden,5,46362.09523809524,668.952380952381,0.0
Sweden,6,2622.5201465201467,237.84615384615384,0.0
Sweden,7,3626.0860215053763,265.6175115207373,0.0
Sweden,8,3994.3533026113673,275.53917050691246,0.0
Sweden,9,4178.33492063492,278.85079365079366,0.0
Sweden,10,4978.115207373272,281.5238095238095,0.0
Sweden,11,8803.773015873016,298.031746031746,0.0
Sweden,12,16429.231950844853,368.76190476190476,0.0
Taiwan,1,5.2,0.0,0.0
Taiwan,2,21.24137931034483,0.4827586206896552,2.1724137931034484
Taiwan,3,43.6,1.0,12.6
UK,1,206008.8608870968,5563.967741935484,488.84274193548384
UK,2,252704.6517857143,7304.087053571428,676.5424107142857
UK,3,212053.88817891374,6226.108626198083,603.1070287539936
UK,4,164154.91169154228,4755.861940298508,533.094527363184
UK,5,23888.849865951743,691.7319034852547,166.64343163538874
UK,6,14195.290697674418,1986.374418604651,90.27441860465116
UK,7,18447.842741935485,2821.6653225806454,87.58266129032258
UK,8,20018.010080645163,2758.4334677419356,94.28427419354838
UK,9,24092.720833333333,2613.6291666666666,129.77083333333334
UK,10,44360.020161290326,2738.4959677419356,161.1209677419355
UK,11,85064.53125,3279.11875,198.13333333333333
UK,12,123720.49596774194,4117.485887096775,267.01612903225805
US,1,399833.0322757112,6805.909737417943,0.0
US,2,393422.24542682926,6926.067073170731,0.044715447154471545
US,3,256923.98572228444,4665.123180291153,5.421052631578948
US,4,277033.8623563218,5152.622413793103,502.2922413793103
US,5,57508.11076280042,2017.0167189132706,4555.92842215256
US,6,37390.71724137931,2011.0206896551724,10019.713793103449
US,7,62058.35928809788,2395.7680756395994,18925.660734149056
US,8,92762.33092324805,2928.282536151279,31633.76084538376
US,9,114743.49712643678,3383.1454022988505,43383.22701149425
US,10,140244.8359288098,3776.594549499444,55342.75806451613
US,11,195412.54712643678,4311.041379310344,73833.74195402299
US,12,293737.36095661845,5381.231924360401,45094.28976640712
Ukraine,1,43862.718040621265,801.1170848267623,33047.8458781362
Ukraine,2,48954.90476190476,952.2169312169312,42608.41402116402
Ukraine,3,57211.04420549582,1131.5065710872163,47522.905615292715
Ukraine,4,72340.94814814815,1499.0814814814814,56143.61604938272
Ukraine,5,79087.05555555556,1717.1851851851852,63852.18518518518
Ukraine,6,1248.5160493827161,34.53703703703704,562.2567901234568
Ukraine,7,2147.5770609318997,53.903225806451616,1104.6929510155317
Ukraine,8,3528.0609318996417,78.68817204301075,1835.4587813620071
Ukraine,9,6196.955555555555,125.80493827160494,2806.962962962963
Ukraine,10,11101.878136200718,209.01672640382318,4757.5089605734765
Ukraine,11,20953.153086419752,372.9753086419753,9628.567901234568
Ukraine,12,34861.11827956989,601.2329749103943,20554.78853046595
